URL,(GDELT ONLINE),,Title,,,,
https://archive.org/details/MSNBCW_20200412_210000_PoliticsNation#start/1832/end/1867,4/12/2020 21:30,MSNBC,PoliticsNation,MSNBCW_20200412_210000_PoliticsNation,https://archive.org/download/MSNBCW_20200412_210000_PoliticsNation/MSNBCW_20200412_210000_PoliticsNation.thumbs/MSNBCW_20200412_210000_PoliticsNation_001828.jpg,"there. tara and joe, thank you for coming on with your analysis. thank you, brother. coming up, the coronavirus has underscored immense racial inequities in the health care sector, but how do we address it going forward? my next guest will try to answer",
https://archive.org/details/FOXNEWSW_20200412_190000_Americas_News_Headquarters#start/6951/end/6986,4/12/2020 20:56,FOXNEWS,Americas News Headquarters,FOXNEWSW_20200412_190000_Americas_News_Headquarters,https://archive.org/download/FOXNEWSW_20200412_190000_Americas_News_Headquarters/FOXNEWSW_20200412_190000_Americas_News_Headquarters.thumbs/FOXNEWSW_20200412_190000_Americas_News_Headquarters_006929.jpg,"especially if they just lost their home on top of all the changes they have had to make during this coronavirus pandemic. arthel? arthel: it is just too much, and i hate seeing those pictures there in monroe, louisiana. i'm sure governor edwards is on",
https://archive.org/details/MSNBCW_20200412_190000_MSNBC_Live#start/2065/end/2100,4/12/2020 19:34,MSNBC,MSNBC Live,MSNBCW_20200412_190000_MSNBC_Live,https://archive.org/download/MSNBCW_20200412_190000_MSNBC_Live/MSNBCW_20200412_190000_MSNBC_Live.thumbs/MSNBCW_20200412_190000_MSNBC_Live_002068.jpg,into. these disparities have a lot to do with systemic racism and inequitities that have been present for many years and they are present in every aspect of health care. it's not surprising that covid-19 brings out these,
https://archive.org/details/CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper#start/2892/end/2927,4/12/2020 16:48,CNN,State of the Union With Jake Tapper,CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper,https://archive.org/download/CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper/CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper.thumbs/CNNW_20200412_160000_State_of_the_Union_With_Jake_Tapper_002880.jpg,on friday where he addressed racial disparities in coronavirus cases and deaths. take a listen. the chronic burden of medical ills is likely to make people of color especially vulnerable to,
https://archive.org/details/CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper#start/2893/end/2928,4/12/2020 13:48,CNN,State of the Union With Jake Tapper,CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper,https://archive.org/download/CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper/CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper.thumbs/CNNW_20200412_130000_State_of_the_Union_With_Jake_Tapper_002878.jpg,distancing works and what the benefits of that are. i want you to take a listen to the surgeon general at the white house task force briefing on friday where he addressed racial disparities in coronavirus cases and deaths. take a listen.,
https://archive.org/details/MSNBCW_20200412_130000_Velshi#start/2250/end/2285,4/12/2020 13:37,MSNBC,Velshi,MSNBCW_20200412_130000_Velshi,https://archive.org/download/MSNBCW_20200412_130000_Velshi/MSNBCW_20200412_130000_Velshi.thumbs/MSNBCW_20200412_130000_Velshi_002248.jpg,our immigration policies in the united states. we've seen instances of xenophobia and we've seen a lot of america first talk which is fantastic from a defense perspective. it's not interesting from a virus perspective.,
https://archive.org/details/FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show#start/362/end/397,4/12/2020 8:06,FOXNEWS,The Greg Gutfeld Show,FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show,https://archive.org/download/FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show/FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show.thumbs/FOXNEWSW_20200412_080000_The_Greg_Gutfeld_Show_000359.jpg,impeachment but while the virus spread. when this is over you can pretend they were there to first sound the alarm but they were not. in fact they were busy calling people racist for sounding the alarm. and then they lied that their site did not dismiss the threat.,
https://archive.org/details/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer#start/1246/end/1281,4/12/2020 5:21,CNN,The Situation Room With Wolf Blitzer,CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer,https://archive.org/download/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer.thumbs/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer_001229.jpg,"the same racial disparity there? yes, of course we are. and sadly, this is just the latest example of health disparities. there's a saying, when americans get the cold, blacks get the flu. these health disparities have",
https://archive.org/details/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer#start/1133/end/1168,4/12/2020 5:19,CNN,The Situation Room With Wolf Blitzer,CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer,https://archive.org/download/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer.thumbs/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer_001048.jpg,"statistics out this week, breaking down the coronavirus focuses and deaths along racial lines here in the united states. in many major cities, the african-american community is suffering far more deaths than white residents. in louisiana, for example, african-americans make up about a third of the population, but",
https://archive.org/details/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer#start/755/end/790,4/12/2020 5:12,CNN,The Situation Room With Wolf Blitzer,CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer,https://archive.org/download/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer.thumbs/CNNW_20200412_050000_The_Situation_Room_With_Wolf_Blitzer_000750.jpg,"certainly is. and i know, mayor, you're very troubled by the racial disparity when it comes to coronavirus infections and fatalities. what are you doing to address the situation in boston? we put a task force together. they had their first meeting",
